"Product category","Style","SKU","Product name","Product description","Brand name","Standard colour","Detailed colour","Swatch","Size","Main image","Outfit","Image 2"
"WW Accessories Mirakl / Bags / Shoulder Bags","The Redmayne","SND-6550X","AMANDAW MP","The Redmayne is the perfect day to evening bag with its chic shape and beautiful hardware. Intricate hand woven leather braiding details on the flap celebrate the craftsmanship required to make this beautfiul bag. A polished chain strap and bespoke lock further elevate this style.","Mirakl","Sand/Black","test","","(W24XD13XH17 Shoulder Strap min/max 25/46CM","http://localhost/awstocks/public/productImage/http://techcloudltd.com/demo/baker-leather/public/productImage/22main.jpg","",""
"WW Accessories Mirakl / Bags / Shoulder Bags","The Baguette Redmayne","YLW-6551","AMANDAW MP","The East West Redmayne has a chic proportion and fits neatly under the arm making it the perfect evening piece. Intricate hand woven leather braiding details and contrast textures celebrate the craftsmanship required to make this beautfiul bag. A polished chain strap and bespoke lock further elevate this gorgeous bag.","Mirakl","Yellow Croc","test","","(W28XD0.7XH13.5 Shoulder Strap min/max 17/30CM","http://localhost/awstocks/public/productImage/http://techcloudltd.com/demo/baker-leather/public/productImage/23main.jpg","",""
